dim_red,kernal,num_iter,cs,gammas,degs,scores,pipes,times,
LinearDiscriminantAnalysis(),linear,10000,0.0001,0.001,3,0.8178,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=10000))],
         verbose=True)",32.96895694732670,
LinearDiscriminantAnalysis(),linear,10000,10.0,0.01,8,0.7116,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=10.0, kernel='linear', max_iter=10000))],
         verbose=True)",29.07854700088500,
LinearDiscriminantAnalysis(),linear,10000,0.01,0.001,9,0.8255,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=10000))],
         verbose=True)",19.542186975479100,
LinearDiscriminantAnalysis(),linear,10000,0.01,0.0001,6,0.8255,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=10000))],
         verbose=True)",20.503679037094100,
LinearDiscriminantAnalysis(),linear,10000,0.01,auto,1,0.8255,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=10000))],
         verbose=True)",20.224300861358600,
LinearDiscriminantAnalysis(),linear,10000,1.0,scale,2,0.8232,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(kernel='linear', max_iter=10000))],
         verbose=True)",25.057883262634300,
LinearDiscriminantAnalysis(),linear,10000,0.001,0.1,10,0.8227,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.001, kernel='linear', max_iter=10000))],
         verbose=True)",21.989925861358600,
LinearDiscriminantAnalysis(),linear,10000,0.1,10.0,4,0.8252,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.1, kernel='linear', max_iter=10000))],
         verbose=True)",21.513622999191300,
LinearDiscriminantAnalysis(),linear,10000,0.01,1.0,5,0.8255,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=10000))],
         verbose=True)",19.91171884536740,
LinearDiscriminantAnalysis(),linear,200000,0.0001,0.001,3,0.8178,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=200000))],
         verbose=True)",32.37538480758670,
LinearDiscriminantAnalysis(),linear,200000,10.0,0.01,8,0.8263,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=10.0, kernel='linear', max_iter=200000))],
         verbose=True)",53.544695138931300,
LinearDiscriminantAnalysis(),linear,200000,0.01,0.001,9,0.8255,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=200000))],
         verbose=True)",20.154896020889300,
LinearDiscriminantAnalysis(),linear,200000,0.01,0.0001,6,0.8255,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=200000))],
         verbose=True)",19.89112901687620,
LinearDiscriminantAnalysis(),linear,200000,0.01,auto,1,0.8255,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=200000))],
         verbose=True)",19.40584087371830,
LinearDiscriminantAnalysis(),linear,200000,1.0,scale,2,0.8253,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(kernel='linear', max_iter=200000))],
         verbose=True)",28.250373125076300,
LinearDiscriminantAnalysis(),linear,200000,0.001,0.1,10,0.8227,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.001, kernel='linear', max_iter=200000))],
         verbose=True)",22.123610019683800,
LinearDiscriminantAnalysis(),linear,200000,0.1,10.0,4,0.8252,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.1, kernel='linear', max_iter=200000))],
         verbose=True)",21.428797006607100,
LinearDiscriminantAnalysis(),linear,200000,0.01,1.0,5,0.8255,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.01, kernel='linear', max_iter=200000))],
         verbose=True)",19.62851095199590,
